NUM,ACH1,ACH2,ACH3,ACH4,ACH5,ACH6,ACH7,ACH8,ACH9,ACH10,ACH11,ACH12,ACH13,ACH14,ACH15,ACH16,ACH17,ACH18,ACH19,ACH20,ACH21,ACH22,ACH23,ACH24,ACH25,ACH26,ACH27,ACH28,ACH29,ACH30
953,10589,5290,9650,-1077,3841,-2928,-7,-11,-9,1471,-3874,2434,-1039,3868,-2960,0,-310,0,10486,5,8759,-37,8820,-50,5,1,0,-5,4698,4698
954,10586,5288,9650,-2219,3987,-1927,-7,-11,-4,1471,-3879,2434,-2214,4009,-1965,0,-235,0,10489,5,8755,-49,8820,-75,-6,1,0,0,4698,4698
955,10582,5284,9650,-3150,3765,-699,-4,-9,-2,1460,-3879,2434,-3144,3782,-731,0,-169,0,10486,5,8759,-37,8813,-38,5,2,0,0,4698,4698
956,10586,5284,9650,-3766,3176,606,-14,-9,-7,1471,-3874,2434,-3766,3197,578,0,-141,0,10489,5,8762,-25,8817,-50,5,1,0,5,4698,4698
957,10582,5284,9650,-4042,2256,1818,-7,-7,-7,1471,-3874,2434,-4048,2277,1796,0,-99,0,10492,5,8759,-49,8817,-50,0,1,0,6,4698,4698
958,10582,5284,9650,-3923,1109,2840,-2,-2,-4,1466,-3879,2434,-3934,1125,2813,0,-43,0,10489,5,8762,-37,8813,-62,5,2,0,7,4698,4698
959,10582,5286,9650,-3453,-217,3554,-4,-7,-11,1466,-3879,2434,-3458,-184,3549,0,9,0,10496,5,8762,-37,8820,-50,11,2,0,16,4698,4698
960,10579,5286,9650,-2522,-1635,3977,-9,-4,-7,1477,-3874,2429,-2533,-1613,3966,0,103,0,10496,5,8759,-37,8820,-50,0,2,0,16,4698,4698
961,10576,5282,9650,-1543,-2554,3966,0,0,-2,1466,-3879,2429,-1559,-2544,3966,0,135,0,10492,5,8759,-37,8820,-62,0,2,0,14,4698,4698
962,10572,5282,9650,-266,-3399,3603,-4,-4,-7,1471,-3874,2440,-276,-3388,3609,0,168,0,10499,5,8762,-49,8823,-50,0,3,0,11,4698,4698
963,10579,5282,9650,1001,-3913,2884,-4,-4,-7,1477,-3874,2440,1006,-3913,2889,0,304,0,10499,5,8759,-37,8820,-50,0,1,0,1,4698,4698
964,10576,5280,9650,2158,-4064,1888,-7,0,-4,1466,-3879,2429,2169,-4069,1888,0,224,0,10499,5,8762,-49,8817,-50,0,2,0,4,4698,4698
965,10572,5282,9650,3100,-3821,492,-7,4,-2,1471,-3879,2429,3208,-3783,497,0,159,0,10502,5,8759,-37,8817,-50,-6,2,0,1,4698,4698
966,10569,5280,9650,3728,-3220,-623,-2,2,-4,1466,-3868,2434,3744,-3225,-628,0,135,0,10505,5,8759,-37,8817,-50,0,2,0,-4,4698,4698
967,10572,5278,9650,4004,-2306,-1851,0,2,-4,1466,-3874,2429,4020,-2322,-1862,0,93,0,10502,5,8762,-49,8820,-50,0,3,0,-11,4698,4698
968,10576,5280,9650,3879,-1153,-2863,-9,-2,-4,1477,-3868,2440,3912,-1164,-2879,0,42,0,10505,5,8759,-25,8820,-50,5,2,0,-9,4698,4698
969,10569,5278,9650,3398,173,-3599,0,2,-2,1471,-3874,2434,3430,146,-3620,0,-24,0,10509,5,8755,-49,8813,-50,-6,1,0,-7,4698,4698
970,10566,5278,9650,2575,1423,-3999,-2,-2,-2,1466,-3874,2429,2613,1406,-4026,0,-99,0,10509,5,8762,-49,8820,-75,5,2,0,-7,4698,4698
971,10566,5278,9650,1482,2516,-4010,-9,-11,-9,1466,-3874,2440,1520,2505,-4042,0,-146,0,10509,5,8759,-37,8820,-50,17,1,0,-7,4698,4698
972,10569,5278,9650,205,3343,-3653,-7,-7,-4,1477,-3874,2434,243,3343,-3680,0,-169,0,10515,5,8759,-49,8813,-50,0,1,0,-7,4698,4698
973,10559,5274,9650,-1077,3857,-2922,0,-9,-7,1466,-3874,2429,-1050,3863,-2966,0,-310,0,10512,5,8762,-37,8820,-50,0,1,0,-6,4698,4698
974,10563,5276,9650,-2219,4004,-1921,-9,-14,-7,1471,-3874,2434,-2203,4009,-1959,0,-235,0,10515,5,8762,-37,8820,-50,0,0,0,0,4698,4698
975,10559,5276,9650,-3155,3771,-699,-7,-9,-2,1466,-3874,2429,-3139,3787,-731,0,-169,0,10518,5,8752,-37,8813,-62,5,1,0,0,4698,4698
976,10563,5272,9650,-3772,3187,606,-9,-7,-7,1471,-3874,2434,-3777,3192,562,0,-141,0,10515,5,8765,-25,8817,-50,5,2,0,3,4698,4698
977,10559,5274,9650,-4042,2267,1818,-7,-9,-4,1466,-3874,2429,-4048,2288,1796,0,-99,0,10521,5,8762,-37,8817,-50,5,2,0,9,4698,4698
